epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,200.121,1.17005,1.73059,1.33645,0.00335,1,0.29238,0.11601,2.46042,3.89542,2.50745,0.000402747,0.000402747,0.000402747
42,204.847,1.03094,1.82869,1.29245,0.00335,1,0.29238,0.11601,2.46042,3.89542,2.50745,0.00040605,0.00040605,0.00040605
43,210.125,1.29127,1.87983,1.43527,0.00335,1,0.32973,0.11612,2.38015,4.10799,2.40381,0.000409022,0.000409022,0.000409022
44,215.641,1.10573,1.43617,1.26538,0.00335,1,0.32973,0.11612,2.38015,4.10799,2.40381,0.000411664,0.000411664,0.000411664
45,220.639,0.97164,1.63257,1.31453,0.00334,1,0.38504,0.119,2.2851,4.14748,2.41701,0.000413976,0.000413976,0.000413976
46,225.516,1.1545,1.77603,1.40119,0.00334,1,0.38504,0.119,2.2851,4.14748,2.41701,0.000415958,0.000415958,0.000415958
47,230.63,1.10056,1.63594,1.21274,0.00334,1,0.38757,0.12136,2.28511,4.03769,2.464,0.00041761,0.00041761,0.00041761
48,236.121,1.23838,1.72741,1.35445,0.00334,1,0.38757,0.12136,2.28511,4.03769,2.464,0.000418932,0.000418932,0.000418932
49,243.246,0.92795,1.59498,1.21165,0.00335,1,0.28776,0.09307,2.42007,3.91151,2.59393,0.000419924,0.000419924,0.000419924
50,248.119,0.91888,1.57375,1.20976,0.00335,1,0.28776,0.09307,2.42007,3.91151,2.59393,0.000420586,0.000420586,0.000420586
51,253.195,0.82516,1.35598,1.10448,0.00335,1,0.47379,0.12663,2.42586,3.92287,2.75425,0.000420918,0.000420918,0.000420918
52,258.302,0.96314,1.49413,1.20224,0.00335,1,0.47379,0.12663,2.42586,3.92287,2.75425,0.000420919,0.000420919,0.000420919
53,263.45,0.97804,1.65892,1.2694,0.00335,1,0.47379,0.12663,2.42586,3.92287,2.75425,0.000420591,0.000420591,0.000420591
54,273.369,0.85565,1.5657,1.17188,0.00337,1,0.40625,0.12712,2.35873,3.74596,2.80358,0.000419932,0.000419932,0.000419932
1,9.95717,3.00302,3.80152,3.30282,0.00335,1,0.00819,0.0017,3.35885,5.70464,3.66275,0,0,0
55,282.372,0.99121,1.60574,1.1415,0.00337,1,0.40625,0.12712,2.35873,3.74596,2.80358,0.000418944,0.000418944,0.000418944
2,18.3974,2.92236,4.21588,3.25958,0.00334,1,0.00793,0.00187,3.30492,5.84052,3.6034,1.6505e-05,1.6505e-05,1.6505e-05
56,293.343,0.85278,1.46299,1.13285,0.00337,1,0.40625,0.12712,2.35873,3.74596,2.80358,0.000417625,0.000417625,0.000417625
3,28.8849,2.89149,3.85131,3.05619,0.00334,1,0.00712,0.00229,3.10832,6.61873,3.5022,3.26799e-05,3.26799e-05,3.26799e-05
4,40.2879,3.15933,4.3518,3.20934,0.00333,1,0.00755,0.00198,3.0372,6.23168,3.42194,4.85247e-05,4.85247e-05,4.85247e-05
57,304.913,0.99606,1.62436,1.19977,0.0034,1,0.40662,0.13278,2.22019,3.69394,2.63219,0.000415977,0.000415977,0.000415977
5,50.6628,2.86298,3.97914,3.02807,0.00334,1,0.00748,0.00277,2.75288,5.12208,3.32504,6.40395e-05,6.40395e-05,6.40395e-05
58,315.433,1.16394,1.72413,1.42187,0.0034,1,0.40662,0.13278,2.22019,3.69394,2.63219,0.000413998,0.000413998,0.000413998
6,60.5268,2.78396,3.82468,2.97671,0.00335,1,0.00778,0.0017,2.81384,5.19097,3.2688,7.92242e-05,7.92242e-05,7.92242e-05
59,325.169,1.02109,1.5239,1.22548,0.0034,1,0.40662,0.13278,2.22019,3.69394,2.63219,0.000411689,0.000411689,0.000411689
7,69.6836,2.76568,3.95659,2.83703,0.00338,1,0.01029,0.00298,2.62452,4.93851,3.16688,9.40788e-05,9.40788e-05,9.40788e-05
60,334.319,1.14404,1.50034,1.33324,0.0034,1,0.41723,0.15423,2.10167,3.66764,2.62075,0.00040905,0.00040905,0.00040905
61,343.61,0.90967,1.43748,1.11898,0.0034,1,0.41723,0.15423,2.10167,3.66764,2.62075,0.000406081,0.000406081,0.000406081
8,79.0342,2.27847,3.95099,2.6441,0.00243,0.75,0.01291,0.00323,2.73504,5.2697,3.13594,0.000108603,0.000108603,0.000108603
62,353.482,0.88059,1.3102,1.12435,0.0034,1,0.41723,0.15423,2.10167,3.66764,2.62075,0.000402782,0.000402782,0.000402782
9,88.9055,2.34551,3.75442,2.37609,0.00243,0.75,0.01543,0.00548,2.81668,5.22725,3.0778,0.000122798,0.000122798,0.000122798
10,101.125,2.33328,3.5569,2.41656,0.00344,1,0.01618,0.00525,2.81556,5.3641,3.00388,0.000136662,0.000136662,0.000136662
63,365.748,0.82695,1.30402,1.08194,0.00336,1,0.4387,0.13768,2.13995,3.71716,2.72164,0.000399153,0.000399153,0.000399153
64,376.987,0.92002,1.3534,1.16025,0.00336,1,0.4387,0.13768,2.13995,3.71716,2.72164,0.000395194,0.000395194,0.000395194
11,112.42,1.98652,3.55979,2.18806,0.00343,1,0.02695,0.01197,2.56622,5.19352,2.85401,0.000150197,0.000150197,0.000150197
12,124.226,2.07527,3.54479,2.22507,0.00338,1,0.05345,0.03369,2.35183,4.78196,2.66056,0.000163401,0.000163401,0.000163401
65,388.844,0.88522,1.65874,1.26403,0.00336,1,0.4387,0.13768,2.13995,3.71716,2.72164,0.000390905,0.000390905,0.000390905
66,400.308,0.91325,1.41033,1.14513,0.00336,1,0.34837,0.1596,2.12102,3.92722,2.70327,0.000386286,0.000386286,0.000386286
13,135.782,1.71623,3.27417,1.91996,0.00335,1,0.10832,0.06889,1.86056,4.92865,2.36102,0.000176275,0.000176275,0.000176275
67,409.799,0.74749,1.20249,1.06253,0.00336,1,0.34837,0.1596,2.12102,3.92722,2.70327,0.000381336,0.000381336,0.000381336
14,145.268,1.7622,3.44244,1.95054,0.00335,1,0.29396,0.19036,1.99098,4.49052,2.31286,0.000188819,0.000188819,0.000188819
68,419.852,0.89011,1.40877,1.18802,0.00336,1,0.34837,0.1596,2.12102,3.92722,2.70327,0.000376057,0.000376057,0.000376057
15,155.54,1.81103,3.47683,1.99695,0.00334,1,0.29572,0.16324,1.99896,4.60083,2.17749,0.000201034,0.000201034,0.000201034
69,432.699,0.99689,1.60231,1.22145,0.00335,1,0.32217,0.14016,2.07029,3.94989,2.49949,0.000370447,0.000370447,0.000370447
16,168.316,1.85736,3.21327,1.96993,0.00333,1,0.31673,0.16709,2.22215,4.25633,2.29004,0.000212918,0.000212918,0.000212918
17,178.797,1.59113,3.06685,1.75571,0.00333,1,0.32076,0.14306,2.22525,3.96376,2.31361,0.000224472,0.000224472,0.000224472
70,443.414,0.96216,1.4414,1.23661,0.00335,1,0.32217,0.14016,2.07029,3.94989,2.49949,0.000364508,0.000364508,0.000364508
18,188.55,1.6509,3.24897,1.8626,0.00333,1,0.32076,0.14306,2.22525,3.96376,2.31361,0.000235695,0.000235695,0.000235695
71,453.295,0.79774,1.23409,1.02284,0.00335,1,0.32217,0.14016,2.07029,3.94989,2.49949,0.000358238,0.000358238,0.000358238
19,198.156,1.85018,3.14787,1.99385,0.00333,1,0.37,0.15704,2.1428,4.12381,2.23873,0.000246589,0.000246589,0.000246589
72,462.785,0.94124,1.5057,1.20919,0.00382,1,0.31798,0.16925,2.06163,3.76221,2.42676,0.000351639,0.000351639,0.000351639
73,472.914,0.65592,1.19168,1.04071,0.00382,1,0.31798,0.16925,2.06163,3.76221,2.42676,0.000344709,0.000344709,0.000344709
20,208.427,1.57911,2.8839,1.73592,0.00333,1,0.37,0.15704,2.1428,4.12381,2.23873,0.000257153,0.000257153,0.000257153
21,219.62,1.48628,2.64804,1.57788,0.00333,1,0.53435,0.16776,2.02165,4.29729,2.1487,0.000267387,0.000267387,0.000267387
74,484.28,0.86212,1.38333,1.11404,0.00382,1,0.31798,0.16925,2.06163,3.76221,2.42676,0.000337449,0.000337449,0.000337449
75,496.364,0.76942,1.31092,1.09801,0.31419,0.5,0.37682,0.20552,2.14217,3.70826,2.49283,0.000329859,0.000329859,0.000329859
